Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.7138401212013189,0.9,0.7961830922916356,8900.0
Logistic Regression,Bot,0.8337986358977983,0.858494341956846,0.8459662961634995,27483.0
Logistic Regression,DDoS,0.9826125798233134,0.9336340915164185,0.9574974005142548,63617.0
Logistic Regression,PortScan,0.9783889980353635,0.996,0.9871159563924677,2000.0
Logistic Regression,macro avg,0.8771600837394485,0.9220321083683162,0.8966906863404643,102000.0
Logistic Regression,weighted avg,0.918981445840798,0.9116764705882353,0.913951620393699,102000.0
Random Forest,BENIGN,0.7112824675324675,0.9846067415730337,0.8259189443920829,8900.0
Random Forest,Bot,0.8994780072157826,0.8527089473492705,0.8754693016044979,27483.0
Random Forest,DDoS,0.9913833671399594,0.9603407894116353,0.9756152089554623,63617.0
Random Forest,PortScan,0.9995002498750625,1.0,0.9997500624843789,2000.0
Random Forest,macro avg,0.900411022940818,0.9494141195834849,0.9191883793591056,102000.0
Random Forest,weighted avg,0.9423392568670905,0.934235294117647,0.9360432773938663,102000.0
Extra Trees,BENIGN,0.7078661087866108,0.9504494382022471,0.8114148681055156,8900.0
Extra Trees,Bot,0.8350862431636517,0.866717607248117,0.8506079597193208,27483.0
Extra Trees,DDoS,0.991667366652667,0.9278809123347533,0.9587143297981192,63617.0
Extra Trees,PortScan,0.9995002498750625,1.0,0.9997500624843789,2000.0
Extra Trees,macro avg,0.8835299921194979,0.9362619894462794,0.9051218050268337,102000.0
Extra Trees,weighted avg,0.9248684995407873,0.9147843137254902,0.917538044380793,102000.0
XGBoost,BENIGN,0.7514280768564999,0.9755056179775281,0.8489293047814609,8900.0
XGBoost,Bot,0.8967413517630884,0.8781428519448387,0.8873446576954188,27483.0
XGBoost,DDoS,0.9921662955679436,0.9596019931779242,0.9756124846179662,63617.0
XGBoost,PortScan,0.998003992015968,1.0,0.999000999000999,2000.0
XGBoost,macro avg,0.9095849290508751,0.9533126157750728,0.9277218615239612,102000.0
XGBoost,weighted avg,0.9455637614088787,0.9398333333333333,0.9412343673719741,102000.0
LightGBM,BENIGN,0.7620179609086106,0.9724719101123596,0.8544772435581005,8900.0
LightGBM,Bot,0.8988780686488688,0.8833096823490886,0.8910258763075793,27483.0
LightGBM,DDoS,0.9917903788431898,0.960890956819718,0.9760961900807971,63617.0
LightGBM,PortScan,1.0,1.0,1.0,2000.0
LightGBM,macro avg,0.9131716021001672,0.9541681373202916,0.9303998274866192,102000.0
LightGBM,weighted avg,0.9468681798395165,0.941764705882353,0.943031597554886,102000.0
MLP (PyTorch),BENIGN,0.7201483312731768,0.9819101123595506,0.83090087948657,8900.0
MLP (PyTorch),Bot,0.8950530438419712,0.8564931048284394,0.8753486296530437,27483.0
MLP (PyTorch),DDoS,0.9903511906695689,0.9583601867425374,0.9740930986826863,63617.0
MLP (PyTorch),PortScan,0.998003992015968,1.0,0.999000999000999,2000.0
MLP (PyTorch),macro avg,0.9008891394501712,0.9491908509826319,0.9198359017058247,102000.0
MLP (PyTorch),weighted avg,0.9412474767950791,0.9337843137254902,0.9354814399321916,102000.0
