Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.8697073188645293,0.5721429693067752,0.6902199651727882,82787.0
Logistic Regression,Bot,0.00537231384307846,0.10997442455242967,0.010244192972007148,391.0
Logistic Regression,DDoS,0.595715040591824,0.4843194688537395,0.5342725431907286,25605.0
Logistic Regression,PortScan,0.5528195455894938,0.9966625735965492,0.7111725191525691,31761.0
Logistic Regression,macro avg,0.5059035547222315,0.5407748590773734,0.48647730512202325,140544.0
Logistic Regression,weighted avg,0.7457731783880636,0.6507926343351548,0.6646519565788296,140544.0
Random Forest,BENIGN,0.7791732129812167,0.940509983451508,0.8522734735874253,82787.0
Random Forest,Bot,0.0,0.0,0.0,391.0
Random Forest,DDoS,0.07436918990703852,0.0021870728373364575,0.004249184308369376,25605.0
Random Forest,PortScan,0.8321278825995807,0.9997796039167532,0.908282204201885,31761.0
Random Forest,macro avg,0.421417571371959,0.48561916505139946,0.44120121552441993,140544.0
Random Forest,weighted avg,0.660567861807626,0.7803392531876139,0.7080623542076079,140544.0
Extra Trees,BENIGN,0.7990217740639562,0.9609842124971312,0.8725507937813606,82787.0
Extra Trees,Bot,0.0,0.0,0.0,391.0
Extra Trees,DDoS,0.11208151382823872,0.009021675454012888,0.01669919757102581,25605.0
Extra Trees,PortScan,0.8409994170950135,0.9993702969050093,0.9133706458714013,31761.0
Extra Trees,macro avg,0.4380256762468021,0.4923440462140384,0.4506551593059469,140544.0
Extra Trees,weighted avg,0.6811350556221505,0.7935521971766849,0.7234247680591502,140544.0
XGBoost,BENIGN,0.7659494415049971,0.7868868300578593,0.7762769830251971,82787.0
XGBoost,Bot,0.0,0.0,0.0,391.0
XGBoost,DDoS,0.4833681280445372,0.13563757078695568,0.2118328758767917,25605.0
XGBoost,PortScan,0.6609566230954957,0.9998110890715027,0.795814798571518,31761.0
XGBoost,macro avg,0.4775685481612575,0.4805838724790794,0.4459811643683767,140544.0
XGBoost,weighted avg,0.6886095503087334,0.7141678051001822,0.675699405153989,140544.0
LightGBM,BENIGN,0.5980032225075229,0.9817966588957203,0.7432809342221979,82787.0
LightGBM,Bot,0.0,0.0,0.0,391.0
LightGBM,DDoS,0.5823961937716263,0.10517477055262645,0.17817327731648416,25605.0
LightGBM,PortScan,0.0,0.0,0.0,31761.0
LightGBM,macro avg,0.29509985406978734,0.2717428573620867,0.2303635528846705,140544.0
LightGBM,weighted avg,0.4583557271975523,0.5974854849726776,0.47028777797089644,140544.0
MLP (PyTorch),BENIGN,0.8672788836445722,0.8167949074129996,0.8412802090137165,82787.0
MLP (PyTorch),Bot,0.009420631182289214,0.10230179028132992,0.017252533965926246,391.0
MLP (PyTorch),DDoS,0.924986361156574,0.13243507127514156,0.2316969013699566,25605.0
MLP (PyTorch),PortScan,0.5809673642616713,0.9999055445357514,0.734926236621348,31761.0
MLP (PyTorch),macro avg,0.5956633100612767,0.5128593283763057,0.45628897024273685,140544.0
MLP (PyTorch),weighted avg,0.8107032718636475,0.731507570582878,0.7038963012672729,140544.0
