Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.5170536182635072,0.9068227953161405,0.658590876245048,100003.0
Logistic Regression,Bot,0.004375303840544483,0.00284539993676889,0.0034482758620689655,9489.0
Logistic Regression,DDoS,0.2511888111888112,0.032538589752880646,0.057613960799409746,82794.0
Logistic Regression,PortScan,0.0,0.0,0.0,0.0
Logistic Regression,macro avg,0.19315443332321572,0.2355516962514475,0.17991327822663167,192286.0
Logistic Regression,weighted avg,0.377278411735201,0.4857659944041688,0.3674935999355909,192286.0
Random Forest,BENIGN,0.9997352692617067,0.9818405447836565,0.9907071073979901,100003.0
Random Forest,Bot,0.6812957908346502,0.9995784592686269,0.8103028490880355,9489.0
Random Forest,DDoS,0.9998003767888112,0.9678841461941686,0.9835834177176348,82794.0
Random Forest,macro avg,0.8936104789617226,0.9831010500821505,0.92819779140122,192286.0
Random Forest,weighted avg,0.9840488350013068,0.9767065725013782,0.9787371523804719,192286.0
Extra Trees,BENIGN,0.8188120730176648,0.9719908402747918,0.8888502793602604,100003.0
Extra Trees,Bot,0.5860442016389372,0.746127094530509,0.6564673157162726,9489.0
Extra Trees,DDoS,0.9918691254431327,0.7366958958378627,0.8454479929030827,82794.0
Extra Trees,macro avg,0.7989084666999116,0.8182712768810544,0.7969218626598719,192286.0
Extra Trees,weighted avg,0.8818398091347063,0.8595321552271096,0.8586945173861522,192286.0
XGBoost,BENIGN,0.9973487824037707,0.9141025769226924,0.9539129391262607,100003.0
XGBoost,Bot,0.21133951663248016,0.9989461481715671,0.3488710181998859,9489.0
XGBoost,DDoS,0.9996593639069167,0.6734666763292027,0.8047657535432844,82794.0
XGBoost,macro avg,0.7361158876477226,0.8621718004744875,0.7025165702898103,192286.0
XGBoost,weighted avg,0.9595553931922197,0.814677095576381,0.8598357058860491,192286.0
LightGBM,BENIGN,0.9998758016439346,0.8855434336969891,0.9392430437341903,100003.0
LightGBM,Bot,0.4010407852428499,0.9989461481715671,0.5723169811320755,9489.0
LightGBM,DDoS,0.9997502559876127,0.967002439790323,0.9831037107983988,82794.0
LightGBM,macro avg,0.8002222809581324,0.9504973405529599,0.8315545785548881,192286.0
LightGBM,weighted avg,0.9702702146656865,0.9262140769478797,0.9400212525527346,192286.0
MLP (PyTorch),BENIGN,0.5328590130972043,0.9646110616681499,0.686493449191201,100003.0
MLP (PyTorch),Bot,0.5315375982042648,0.49910422594583204,0.5148105875319311,9489.0
MLP (PyTorch),DDoS,0.1253731343283582,0.003550981955214146,0.006906353140159034,82794.0
MLP (PyTorch),macro avg,0.3965899152099424,0.48908875652306544,0.402736796621097,192286.0
MLP (PyTorch),weighted avg,0.35733960579398444,0.5278283390366433,0.38540635650252486,192286.0
