Train Set,Test Set,Classifier,Before MCC (%),After MCC (%),Δ MCC (pp),Before F1 Macro (%),After F1 Macro (%),Δ F1 Macro (pp),Before F1 Weighted (%),After F1 Weighted (%),Before AUROC (%),After AUROC (%)
CIC18,CIC18 (Val),LR,83.96,86.52,2.56,89.67,89.73,0.06,91.4,92.71,98.7,98.81
CIC18,CIC18 (Val),RF,88.06,90.9,2.84,91.92,94.29,2.37,93.6,95.14,99.51,99.63
CIC18,CIC18 (Val),ET,84.76,79.27,-5.49,90.51,89.18,-1.33,91.75,88.99,98.84,99.09
CIC18,CIC18 (Val),XGB,89.02,91.1,2.08,92.77,94.33,1.56,94.12,95.23,99.56,99.65
CIC18,CIC18 (Val),LGBM,89.35,91.4,2.05,93.04,94.64,1.6,94.3,95.39,99.59,99.67
CIC18,CIC18 (Val),MLP,87.96,89.96,2.0,91.98,93.22,1.24,93.55,94.63,99.46,99.56
CIC18,CIC17 (Test),LR,49.56,52.51,2.95,48.65,48.47,-0.18,66.47,57.28,82.55,82.49
CIC18,CIC17 (Test),RF,61.17,22.65,-38.52,44.12,22.17,-21.95,70.81,35.84,86.9,75.48
CIC18,CIC17 (Test),ET,63.58,53.32,-10.26,45.07,46.22,1.15,72.34,68.96,87.88,85.4
CIC18,CIC17 (Test),XGB,50.13,18.06,-32.07,44.6,16.99,-27.61,67.57,25.34,78.43,88.2
CIC18,CIC17 (Test),LGBM,11.47,5.17,-6.3,23.04,9.91,-13.13,47.03,9.88,66.86,67.06
CIC18,CIC17 (Test),MLP,56.33,50.39,-5.94,45.63,39.56,-6.07,70.39,65.23,81.12,76.33
CIC18,LycoS18,LR,-4.77,-24.68,-19.91,17.99,12.62,-5.37,36.75,25.69,,
CIC18,LycoS18,RF,95.86,67.1,-28.76,92.82,64.29,-28.53,97.87,79.01,,
CIC18,LycoS18,ET,75.46,54.29,-21.17,79.69,52.81,-26.88,85.87,64.93,,
CIC18,LycoS18,XGB,73.42,28.84,-44.58,70.25,42.39,-27.86,85.98,51.96,,
CIC18,LycoS18,LGBM,87.98,62.06,-25.92,83.16,59.1,-24.06,94.0,72.73,,
CIC18,LycoS18,MLP,12.48,30.29,17.81,40.27,30.21,-10.06,38.54,56.09,,
CIC18,CIC18 (Val),SVM (Linear),N/A (New),85.98,N/A (New),N/A (New),89.3,N/A (New),N/A (New),92.41,N/A (New),98.38
CIC18,CIC18 (Val),SVM (RBF),N/A (New),62.7,N/A (New),N/A (New),56.29,N/A (New),N/A (New),79.87,N/A (New),96.39
CIC18,CIC17 (Test),SVM (Linear),N/A (New),51.77,N/A (New),N/A (New),49.5,N/A (New),N/A (New),57.98,N/A (New),84.42
CIC18,CIC17 (Test),SVM (RBF),N/A (New),5.47,N/A (New),N/A (New),20.72,N/A (New),N/A (New),35.69,N/A (New),81.7
CIC18,LycoS18,SVM (Linear),N/A (New),4.4,N/A (New),N/A (New),10.25,N/A (New),N/A (New),18.24,N/A (New),
CIC18,LycoS18,SVM (RBF),N/A (New),33.91,N/A (New),N/A (New),36.07,N/A (New),N/A (New),49.28,N/A (New),
