Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.5973822634273349,0.41017309480957154,0.48638544725345556,82787.0
Logistic Regression,Bot,0.004226096143687269,0.12276214833759591,0.0081709081623968,391.0
Logistic Regression,DDoS,0.3379569467201537,0.9344268697520015,0.4963848922729017,25605.0
Logistic Regression,PortScan,0.0,0.0,0.0,31761.0
Logistic Regression,macro avg,0.234891326572794,0.36684052822479224,0.2477353119221885,140544.0
Logistic Regression,weighted avg,0.41346856121015835,0.41219119990892533,0.37696039684021354,140544.0
Random Forest,BENIGN,0.5808547481155961,0.9643422276444369,0.7250114652342313,82787.0
Random Forest,Bot,0.0,0.0,0.0,391.0
Random Forest,DDoS,0.013428120063191154,0.0006639328256199961,0.0012653046034758661,25605.0
Random Forest,PortScan,0.0,0.0,0.0,31761.0
Random Forest,macro avg,0.14857071704469682,0.24125154011751423,0.1815691924594268,140544.0
Random Forest,weighted avg,0.3445970589030045,0.5681637067395264,0.42729623674236045,140544.0
Extra Trees,BENIGN,0.6290726600559721,0.8797154142558614,0.7335754108350666,82787.0
Extra Trees,Bot,0.004008211946426826,0.10485933503836317,0.007721280602636535,391.0
Extra Trees,DDoS,0.6340507460633982,0.36012497559070494,0.459350403507024,25605.0
Extra Trees,PortScan,0.0,0.0,0.0,31761.0
Extra Trees,macro avg,0.3167829045164493,0.3361749312212324,0.3001617737361818,140544.0
Extra Trees,weighted avg,0.4860789138766373,0.5840946607468124,0.5158184884400304,140544.0
XGBoost,BENIGN,0.6394675879857026,0.9702972688948748,0.7708873150227443,82787.0
XGBoost,Bot,0.0,0.0,0.0,391.0
XGBoost,DDoS,0.7985402446441846,0.4614723686779926,0.5849215385376961,25605.0
XGBoost,PortScan,0.0,0.0,0.0,31761.0
XGBoost,macro avg,0.35950195815747177,0.35794240939321686,0.3389522133901101,140544.0
XGBoost,weighted avg,0.5221583715468943,0.6556238615664846,0.5606526364913881,140544.0
LightGBM,BENIGN,0.571741565629942,0.8384649763851812,0.6798795269227944,82787.0
LightGBM,Bot,0.0069269521410579345,0.028132992327365727,0.011116725618999495,391.0
LightGBM,DDoS,0.2803770351328192,0.1916813122437024,0.227696590118302,25605.0
LightGBM,PortScan,1.0,0.0013538616542300304,0.002704062382090303,31761.0
LightGBM,macro avg,0.4647613882259548,0.26490828565261987,0.23034922626054655,140544.0
LightGBM,weighted avg,0.6138684783176016,0.5292008196721312,0.4426057885813062,140544.0
MLP (PyTorch),BENIGN,0.5379220473652299,0.7180112819645597,0.615055098556573,82787.0
MLP (PyTorch),Bot,0.008577064928381508,0.2557544757033248,0.016597510373443983,391.0
MLP (PyTorch),DDoS,0.30676748993580677,0.22023042374536222,0.25639393457157794,25605.0
MLP (PyTorch),PortScan,0.0,0.0,0.0,31761.0
MLP (PyTorch),macro avg,0.21331665055735455,0.2984990453533117,0.22201163587539874,140544.0
MLP (PyTorch),weighted avg,0.37277356377660104,0.463776468579235,0.4090535545129232,140544.0
