Feature,Random Forest,Extra Trees,XGBoost,LightGBM
Source Port,0.036109449006696784,0.06601879105103729,0.035052605,535
Destination Port,0.10598824625283765,0.0732634863975391,0.08260285,1334
Protocol,0.0018606254904442584,0.025832598465353157,0.0,1
Flow Duration,0.006414036126156106,0.007616618564527765,0.012438824,451
Total Fwd Packets,0.014186933433471218,0.004636358577681827,0.00066537777,47
Total Backward Packets,0.01630634205863489,0.0024694162437613305,0.015648954,84
Total Length of Fwd Packets,0.020142805032042747,0.004006937032017466,0.0029611676,89
Total Length of Bwd Packets,0.014543279775081831,0.004391665965905948,0.03052427,77
Fwd Packet Length Max,0.01796118810824733,0.025073086009774332,0.003389241,81
Fwd Packet Length Min,0.0023136880377445527,0.004159230497319484,0.0005795475,31
Fwd Packet Length Mean,0.012260724245106588,0.01285486779171068,0.059721056,55
Fwd Packet Length Std,0.007505432512445945,0.012854847138378402,0.004986513,63
Bwd Packet Length Max,0.012646331744962443,0.019889085442920385,0.005719455,52
Bwd Packet Length Min,0.0025527194999931803,0.01008252398281902,0.00051419524,58
Bwd Packet Length Mean,0.020644670605735237,0.01770509613231568,0.001559673,63
Bwd Packet Length Std,0.020529606802615962,0.03382981513317728,0.0061254525,130
Flow Bytes/s,0.010993390852265972,0.0026788257882145888,0.0043080226,270
Flow Packets/s,0.04945154751804307,0.037384268799492366,0.005316285,361
Flow IAT Mean,0.037351204192617275,0.006914008047058484,0.013560591,323
Flow IAT Std,0.0026989964230914494,0.0033133658282549112,0.0025123947,124
Flow IAT Max,0.012764278003573134,0.004794419547082581,0.0042653074,210
Flow IAT Min,0.044592454319637716,0.008107637400572614,0.0033910174,701
Fwd IAT Total,0.006246281322175097,0.0051270316484456745,0.0028901326,151
Fwd IAT Mean,0.03039827856683037,0.005190766637054883,0.0034967898,132
Fwd IAT Std,0.003662716368754214,0.0021216809846640937,0.020666009,131
Fwd IAT Max,0.0147571014708962,0.003944228167402844,0.0043936414,103
Fwd IAT Min,0.03672081241323785,0.005307772685242056,0.061789665,278
Bwd IAT Total,0.0028520687974758928,0.004428844787421438,0.00057290884,42
Bwd IAT Mean,0.0029512520266166257,0.0019571033162601088,0.0007613312,43
Bwd IAT Std,0.00316024122013972,0.004342114029173225,0.0014440073,31
Bwd IAT Max,0.0020490453605568363,0.00262431434805401,0.001316347,35
Bwd IAT Min,0.003832988809931084,0.000979108839176055,0.0031378125,101
Fwd PSH Flags,0.0004176300526615006,0.003989201447110971,0.011853457,40
