Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.38462209112242896,0.5293741187764367,0.4455357218000185,100003.0
Logistic Regression,Bot,0.0006291653073589038,0.00284539993676889,0.001030475354464439,9489.0
Logistic Regression,DDoS,0.23592332705801813,0.03329951445756939,0.05836155800169348,82794.0
Logistic Regression,PortScan,0.0,0.0,0.0,0.0
Logistic Regression,macro avg,0.1552936458719515,0.14137975829269375,0.1262319387890441,192286.0
Logistic Regression,weighted avg,0.30164634486420927,0.2897922885701507,0.2568916811468228,192286.0
Random Forest,BENIGN,0.9994916414116727,0.5111746647600572,0.6764098764125228,100003.0
Random Forest,Bot,0.15338451738357864,0.964274423016124,0.2646688746510854,9489.0
Random Forest,DDoS,0.9955821173929584,0.9798656907505375,0.9876613850658323,82794.0
Random Forest,macro avg,0.7161527587294033,0.8184382595089063,0.6429133787098135,192286.0
Random Forest,weighted avg,0.9560542843939593,0.7353421465941358,0.7901089862891015,192286.0
Extra Trees,BENIGN,0.9978786874378521,0.30105096847094587,0.4625536785662157,100003.0
Extra Trees,Bot,0.10794142078492507,0.9996838444514701,0.1948444079285201,9489.0
Extra Trees,DDoS,0.9802923149457803,0.878952581104911,0.9268606435753906,82794.0
Extra Trees,macro avg,0.6953708077228525,0.7265624646757756,0.5280862433567087,192286.0
Extra Trees,weighted avg,0.9463894430447178,0.5843587156631268,0.649262734825582,192286.0
XGBoost,BENIGN,0.618913185105992,0.37048888533344,0.46351319229855004,100003.0
XGBoost,Bot,0.1001489872040068,0.9988407629887238,0.18204517516902274,9489.0
XGBoost,DDoS,0.9988619521490578,0.45584221078822135,0.6260014264625388,82794.0
XGBoost,macro avg,0.5726413748196856,0.6083906197034618,0.42385326464337053,192286.0
XGBoost,weighted avg,0.7569103598595968,0.43824823440084043,0.5195869618128734,192286.0
LightGBM,BENIGN,0.9997436686147851,0.3900082997510075,0.5611193036722656,100003.0
LightGBM,Bot,0.1283390832922622,0.9604805564337654,0.22642353174997515,9489.0
LightGBM,DDoS,0.9886820894978057,0.982293402903592,0.985477392110413,82794.0
LightGBM,macro avg,0.7055882804682844,0.7775940863627883,0.5910067425108846,192286.0
LightGBM,weighted avg,0.9519784101376384,0.6731847352381348,0.7273216033424306,192286.0
MLP (PyTorch),BENIGN,0.9407807102702459,0.41668749937501876,0.57756278760326,100003.0
MLP (PyTorch),Bot,0.016081287322414446,0.1654547370639688,0.0293134673911014,9489.0
MLP (PyTorch),DDoS,0.7976264086965194,0.48299393675870234,0.6016595325324046,82794.0
MLP (PyTorch),PortScan,0.0,0.0,0.0,0.0
MLP (PyTorch),macro avg,0.4386221015722949,0.26628404329942246,0.3021339468816915,192286.0
MLP (PyTorch),weighted avg,0.833509301697354,0.43283962430962214,0.5608830922545108,192286.0
SVM (Linear),BENIGN,0.9998851300901729,0.1740847774566763,0.29654044662476364,100003.0
SVM (Linear),Bot,0.02866030717907822,0.4961534408262198,0.054190310661955135,9489.0
SVM (Linear),DDoS,0.26156178923426837,0.033335748967316475,0.05913483170141195,82794.0
SVM (Linear),PortScan,0.0,0.0,0.0,0.0
SVM (Linear),macro avg,0.32252680662587985,0.17589349181255315,0.10246639724703267,192286.0
SVM (Linear),weighted avg,0.6340514499084273,0.1293749934992667,0.18235937820524753,192286.0
SVM (RBF Kernel),BENIGN,0.9982467055030824,0.17649470515884524,0.2999558138744434,100003.0
SVM (RBF Kernel),Bot,0.0,0.0,0.0,9489.0
SVM (RBF Kernel),DDoS,0.6427782960199006,0.9987076358190207,0.7821542419856787,82794.0
SVM (RBF Kernel),macro avg,0.5470083338409943,0.3917341136592887,0.36070335195337405,192286.0
SVM (RBF Kernel),weighted avg,0.7959282086636384,0.521811260310163,0.4927772150122643,192286.0
