Num_Features,Model,Train_Time_s,Dataset,Evaluation_Type,Accuracy,F1_Score
10,Logistic Regression,18.87,CICIDS-2018 (Within),Multiclass,0.8099,0.7917
10,Logistic Regression,18.87,CICIDS-2018 (Within),Binary,0.9254,0.9603
10,Logistic Regression,18.87,CICIDS-2017 (Cross),Multiclass,0.3468,0.3887
10,Logistic Regression,18.87,CICIDS-2017 (Cross),Binary,0.3758,0.4362
10,Logistic Regression,18.87,LycoS-2018 (Cross),Multiclass,0.4672,0.3461
10,Logistic Regression,18.87,LycoS-2018 (Cross),Binary,0.4907,0.6533
10,Random Forest,5.41,CICIDS-2018 (Within),Multiclass,0.949,0.9491
10,Random Forest,5.41,CICIDS-2018 (Within),Binary,0.9778,0.9879
10,Random Forest,5.41,CICIDS-2017 (Cross),Multiclass,0.3661,0.3204
10,Random Forest,5.41,CICIDS-2017 (Cross),Binary,0.5497,0.6453
10,Random Forest,5.41,LycoS-2018 (Cross),Multiclass,0.6314,0.6809
10,Random Forest,5.41,LycoS-2018 (Cross),Binary,0.641,0.7278
10,Extra Trees,1.28,CICIDS-2018 (Within),Multiclass,0.9157,0.9134
10,Extra Trees,1.28,CICIDS-2018 (Within),Binary,0.9668,0.9821
10,Extra Trees,1.28,CICIDS-2017 (Cross),Multiclass,0.7228,0.7169
10,Extra Trees,1.28,CICIDS-2017 (Cross),Binary,0.7234,0.6752
10,Extra Trees,1.28,LycoS-2018 (Cross),Multiclass,0.4458,0.3513
10,Extra Trees,1.28,LycoS-2018 (Cross),Binary,0.493,0.6544
10,XGBoost,3.88,CICIDS-2018 (Within),Multiclass,0.9477,0.9478
10,XGBoost,3.88,CICIDS-2018 (Within),Binary,0.9768,0.9874
10,XGBoost,3.88,CICIDS-2017 (Cross),Multiclass,0.3244,0.2606
10,XGBoost,3.88,CICIDS-2017 (Cross),Binary,0.5056,0.6234
10,XGBoost,3.88,LycoS-2018 (Cross),Multiclass,0.3752,0.4809
10,XGBoost,3.88,LycoS-2018 (Cross),Binary,0.6021,0.7052
10,LightGBM,3.76,CICIDS-2018 (Within),Multiclass,0.9495,0.9496
10,LightGBM,3.76,CICIDS-2018 (Within),Binary,0.978,0.988
10,LightGBM,3.76,CICIDS-2017 (Cross),Multiclass,0.3098,0.2359
10,LightGBM,3.76,CICIDS-2017 (Cross),Binary,0.4927,0.6171
10,LightGBM,3.76,LycoS-2018 (Cross),Multiclass,0.5672,0.6278
10,LightGBM,3.76,LycoS-2018 (Cross),Binary,0.6142,0.7133
10,MLP (PyTorch),33.4,CICIDS-2018 (Within),Multiclass,0.9319,0.9318
10,MLP (PyTorch),33.4,CICIDS-2018 (Within),Binary,0.9647,0.9808
10,MLP (PyTorch),33.4,CICIDS-2017 (Cross),Multiclass,0.6814,0.6769
10,MLP (PyTorch),33.4,CICIDS-2017 (Cross),Binary,0.6819,0.6274
