Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,Attack,0.9729984232655922,0.47723952738990333,0.6403822317027471,93100.0
Logistic Regression,Benign,0.13609414938937803,0.8614606741573033,0.2350542645165246,8900.0
Logistic Regression,macro avg,0.554546286327485,0.6693501007736034,0.4377182481096359,102000.0
Logistic Regression,weighted avg,0.8999744228979618,0.5107647058823529,0.6050153796639492,102000.0
Random Forest,Attack,0.9981317141522653,0.022953813104189043,0.04487563129324556,93100.0
Random Forest,Benign,0.08908561071110266,0.9995505617977528,0.1635910591307386,8900.0
Random Forest,macro avg,0.543608662431684,0.5112521874509709,0.10423334521199208,102000.0
Random Forest,weighted avg,0.9188129855186736,0.10816666666666666,0.055234134310438575,102000.0
Extra Trees,Attack,0.9794364051789795,0.2900751879699248,0.4475897673878995,93100.0
Extra Trees,Benign,0.11196205678046946,0.9362921348314607,0.20000720054724158,8900.0
Extra Trees,macro avg,0.5456992309797245,0.6131836614006927,0.32379848396757055,102000.0
Extra Trees,weighted avg,0.9037450159559722,0.3464607843137255,0.4259869747910186,102000.0
XGBoost,Attack,0.9973333333333333,0.056240601503759396,0.10647686832740214,93100.0
XGBoost,Benign,0.09184496124031008,0.9984269662921348,0.1682158069096072,8900.0
XGBoost,macro avg,0.5445891472868217,0.527333783897947,0.13734633761850468,102000.0
XGBoost,weighted avg,0.9183250341997263,0.13845098039215686,0.11186389336055531,102000.0
LightGBM,Attack,0.995049504950495,0.02158968850698174,0.04226240538267451,93100.0
LightGBM,Benign,0.08891778355671134,0.998876404494382,0.1632990448199853,8900.0
LightGBM,macro avg,0.5419836442536032,0.5102330465006819,0.1027807251013299,102000.0
LightGBM,weighted avg,0.9159850704367237,0.10686274509803921,0.052823445490439866,102000.0
MLP (PyTorch),Attack,0.9968062948391576,0.23132116004296455,0.37550237565929995,93100.0
MLP (PyTorch),Benign,0.10984513962311089,0.9922471910112359,0.19779382944173807,8900.0
MLP (PyTorch),macro avg,0.5533257172311342,0.6117841755271003,0.286648102550519,102000.0
MLP (PyTorch),weighted avg,0.9194145861977575,0.2977156862745098,0.35999643388149305,102000.0
SVM (Linear),Attack,0.9683716441480962,0.47422126745435017,0.6366625328065065,93100.0
SVM (Linear),Benign,0.13221528861154447,0.8379775280898877,0.228394683652845,8900.0
SVM (Linear),macro avg,0.5502934663798204,0.6560993977721189,0.43252860822967576,102000.0
SVM (Linear),weighted avg,0.8954129033218677,0.5059607843137255,0.6010391616548635,102000.0
