Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,BENIGN,0.13609414938937803,0.8614606741573033,0.2350542645165246,8900.0
Logistic Regression,Bot,0.9425263157894737,0.1629007022523014,0.27778984270778395,27483.0
Logistic Regression,DDoS,0.9556143554578318,0.40306836223022147,0.566987285793256,63617.0
Logistic Regression,PortScan,0.14189333143952845,0.999,0.24849200920340775,2000.0
Logistic Regression,macro avg,0.544032038019053,0.6066074346599566,0.3320808505552431,102000.0
Logistic Regression,weighted avg,0.8646254292200736,0.39003921568627453,0.45385779784364194,102000.0
Random Forest,BENIGN,0.08908561071110266,0.9995505617977528,0.1635910591307386,8900.0
Random Forest,Bot,0.3333333333333333,3.638612960739366e-05,7.276431637924761e-05,27483.0
Random Forest,DDoS,0.9927007299270073,0.002137793357121524,0.004266398971044954,63617.0
Random Forest,PortScan,0.9995002498750625,1.0,0.9997500624843789,2000.0
Random Forest,macro avg,0.6036549809616265,0.5004311853211205,0.29192007122563546,102000.0
Random Forest,weighted avg,0.7363284781455428,0.10816666666666666,0.03655760623804264,102000.0
Extra Trees,BENIGN,0.11196205678046946,0.9362921348314607,0.20000720054724158,8900.0
Extra Trees,Bot,0.23529411764705882,0.00014554451842957463,0.0002909090909090909,27483.0
Extra Trees,DDoS,0.9749520566709717,0.39157772293569326,0.5587430468329445,63617.0
Extra Trees,PortScan,0.9970074812967581,0.9995,0.9982521847690387,2000.0
Extra Trees,macro avg,0.5798039280988145,0.5818788505713959,0.4393233353100334,102000.0
Extra Trees,weighted avg,0.700790102867363,0.34555882352941175,0.3855894109737786,102000.0
XGBoost,BENIGN,0.09184496124031008,0.9984269662921348,0.1682158069096072,8900.0
XGBoost,Bot,0.9990451941438574,0.1142160608376087,0.20499591836734693,27483.0
XGBoost,DDoS,0.0,0.0,0.0,63617.0
XGBoost,PortScan,0.9487666034155597,1.0,0.9737098344693281,2000.0
XGBoost,macro avg,0.5099141896999317,0.5281607567824358,0.33673038993657056,102000.0
XGBoost,weighted avg,0.2958011022796619,0.1375,0.08900434485219565,102000.0
LightGBM,BENIGN,0.08891778355671134,0.998876404494382,0.1632990448199853,8900.0
LightGBM,Bot,0.0,0.0,0.0,27483.0
LightGBM,DDoS,0.0,0.0,0.0,63617.0
LightGBM,PortScan,0.9910802775024777,1.0,0.9955201592832255,2000.0
LightGBM,macro avg,0.26999951526479726,0.4997191011235955,0.2897048010258027,102000.0
LightGBM,weighted avg,0.02719145910450673,0.10676470588235294,0.03376864526925804,102000.0
MLP (PyTorch),BENIGN,0.10984513962311089,0.9922471910112359,0.19779382944173807,8900.0
MLP (PyTorch),Bot,0.5,0.00014554451842957463,0.00029100432868938927,27483.0
MLP (PyTorch),DDoS,0.9897310513447433,0.12726158102394014,0.22552474337367856,63617.0
MLP (PyTorch),PortScan,0.1490646195125587,1.0,0.25945384964649415,2000.0
MLP (PyTorch),macro avg,0.43716020262010324,0.5299135791384014,0.17076585669765004,102000.0
MLP (PyTorch),weighted avg,0.76451932622617,0.18559803921568627,0.16308311816169743,102000.0
SVM (Linear),BENIGN,0.13221528861154447,0.8379775280898877,0.228394683652845,8900.0
SVM (Linear),Bot,0.924843844448922,0.1670123348979369,0.28293164026382295,27483.0
SVM (Linear),DDoS,0.9539476177841792,0.39561752361790087,0.5592888888888888,63617.0
SVM (Linear),PortScan,0.14024989470728624,0.999,0.2459682383355903,2000.0
SVM (Linear),macro avg,0.537814161387983,0.5999018466514314,0.3291458627852868,102000.0
SVM (Linear),weighted avg,0.8584508317217959,0.38445098039215686,0.44981118308820184,102000.0
