Feature,Extra Trees,LightGBM
Source Port,0.0,0
Destination Port,0.0,0
Protocol,0.0323508575178426,59
Flow Duration,0.0,0
Total Fwd Packets,0.002202524960823522,146
Total Backward Packets,0.004301278548358128,151
Total Length of Fwd Packets,0.001059661588263133,318
Total Length of Bwd Packets,0.001522793747600441,140
Fwd Packet Length Max,0.004016655641415259,198
Fwd Packet Length Min,0.005399406913228845,54
Fwd Packet Length Mean,0.003577263393537602,120
Fwd Packet Length Std,0.0018300423513257585,134
Bwd Packet Length Max,0.03947493935822142,94
Bwd Packet Length Min,0.062218472200502105,167
Bwd Packet Length Mean,0.03641591786154656,197
Bwd Packet Length Std,0.025349759972865843,204
Flow Bytes/s,0.0014072952167881103,529
Flow Packets/s,0.006674064241351656,280
Flow IAT Mean,0.005393975408687424,306
Flow IAT Std,0.009019017759427659,169
Flow IAT Max,0.015448197299319427,170
Flow IAT Min,0.0012770557082739662,658
Fwd IAT Total,0.015702416533123962,122
Fwd IAT Mean,0.004801044288848678,158
Fwd IAT Std,0.018004060152987188,160
Fwd IAT Max,0.01790014057057293,113
Fwd IAT Min,0.0015446952322233601,493
Bwd IAT Total,0.004131564001518179,32
Bwd IAT Mean,0.002384622723119457,57
Bwd IAT Std,0.004046231370842063,147
Bwd IAT Max,0.003462122398477004,52
Bwd IAT Min,0.0006511151364638007,256
Fwd PSH Flags,0.00688184243631556,29
Bwd PSH Flags,0.0,0
Fwd URG Flags,8.565996708651481e-07,0
Bwd URG Flags,0.0,0
Fwd Header Length,0.004215825139699631,267
Bwd Header Length,0.0031028261754912274,168
Fwd Packets/s,0.006872387444644687,324
Bwd Packets/s,0.0018454062519641103,392
Min Packet Length,0.00919654415829168,63
Max Packet Length,0.031071681856128307,83
Packet Length Mean,0.04619565881024526,86
Packet Length Std,0.03009581820446903,108
Packet Length Variance,0.008701725175523999,10
FIN Flag Count,0.010243581642593487,106
SYN Flag Count,0.009037846713926136,0
RST Flag Count,9.175343180189907e-07,0
PSH Flag Count,0.17472537145921024,209
ACK Flag Count,0.1048135016750076,45
URG Flag Count,0.016423447905721828,227
CWE Flag Count,1.9921412392606578e-07,0
ECE Flag Count,6.008147977160284e-07,0
Down/Up Ratio,0.0085787751637487,24
Average Packet Size,0.03789791031027731,94
Avg Fwd Segment Size,0.0037767117840340155,0
Avg Bwd Segment Size,0.03181526123001762,0
Fwd Header Length.1,0.003351707080760981,0
Fwd Avg Bytes/Bulk,0.0,0
Fwd Avg Packets/Bulk,0.0,0
Fwd Avg Bulk Rate,0.0,0
Bwd Avg Bytes/Bulk,0.0,0
Bwd Avg Packets/Bulk,0.0,0
Bwd Avg Bulk Rate,0.0,0
Subflow Fwd Packets,0.0025667838029603107,0
Subflow Fwd Bytes,0.000892265511717541,0
Subflow Bwd Packets,0.0026063135618471667,0
Subflow Bwd Bytes,0.001536783518900744,0
Init_Win_bytes_forward,0.022681357567375073,1552
Init_Win_bytes_backward,0.00258976363547565,1300
act_data_pkt_fwd,0.0012184762056207917,55
min_seg_size_forward,0.033873551926339264,225
Active Mean,0.0006673417242004257,37
Active Std,0.0001170381789831995,19
Active Max,0.000543855002996354,21
Active Min,0.000685590580281269,88
Idle Mean,0.017443915658603006,46
Idle Std,0.0008534338900070595,8
Idle Max,0.011495910471731449,3
Idle Min,0.011906434806423345,61
Fwd/Bwd Packet Ratio,0.006850038264083015,327
Fwd/Bwd Length Ratio,0.0010575488139160742,339
