Model,Class,Precision,Recall,F1-Score,Support
Logistic Regression,Attack,0.9689343390387777,0.4304940923737916,0.5961298191337459,93100.0
Logistic Regression,Benign,0.1255854607823735,0.8556179775280899,0.21902323976069948,8900.0
Logistic Regression,macro avg,0.5472598999105756,0.6430560349509408,0.40757652944722267,102000.0
Logistic Regression,weighted avg,0.8953480153477777,0.46758823529411764,0.563225421521784,102000.0
Extra Trees,Attack,0.977890949542002,0.6043071965628357,0.7469943505075249,93100.0
Extra Trees,Benign,0.17154294195695685,0.8570786516853932,0.28586954484981353,8900.0
Extra Trees,macro avg,0.5747169457494794,0.7306929241241145,0.5164319476786692,102000.0
Extra Trees,weighted avg,0.9075331331938951,0.6263627450980392,0.7067589507981755,102000.0
LightGBM,Attack,0.9962349397590361,0.028421052631578948,0.05526546639375078,93100.0
LightGBM,Benign,0.0894870349492672,0.998876404494382,0.16425852703152138,8900.0
LightGBM,macro avg,0.5428609873541517,0.5136487285629805,0.10976199671263609,102000.0
LightGBM,weighted avg,0.9171167402217131,0.11309803921568627,0.06477564521410528,102000.0
